iter	RMSE
0	1179767.352
1	1133803.773
2	1092966.345
3	1057456.748
4	1026108.724
5	1000026.788
6	978690.9364
7	961081.4895
8	945615.9414
9	932673.6271
10	921056.0564
11	911319.3138
12	903089.5301
13	895639.443
14	890430.237
15	885140.3871
16	880907.3295
17	877144.45
18	873891.1618
19	869927.7679
20	866032.7036
21	863422.1239
22	860876.6285
23	858758.387
24	856654.7774
25	854541.2892
26	853377.5668
27	851728.9552
28	850561.864
29	849280.3681
30	848977.8962
31	847725.5969
32	846866.1039
33	845518.9611
34	844620.4187
35	843751.8066
36	843260.425
37	842496.3488
38	841985.2134
39	841439.9398
40	840964.1423
41	840712.2242
42	839985.776
43	839045.4118
44	838576.2219
45	837863.0411
46	837081.6183
47	836810.9355
48	836410.4207
49	836175.2909
50	836034.0484
51	835613.399
52	835349.2108
53	834964.6779
54	834334.3027
55	834053.927
56	833887.7566
57	833662.6346
58	833034.745
59	832577.8434
60	832376.4068
61	832055.218
62	831706.5768
63	831699.9213
64	831136.6525
65	830482.4688
66	830269.6934
67	830205.8935
68	829760.1792
69	829572.2408
70	829155.8022
71	828737.1998
72	828650.1014
73	828392.8984
74	828063.2626
75	827711.186
76	827524.6088
77	827350.5118
78	827230.5497
79	826962.5653
80	826782.7063
81	826668.4708
82	826133.4652
83	825742.1656
84	825664.1561
85	825560.9617
86	825270.5919
87	825065.2216
88	824489.709
89	824266.1378
90	823880.0329
91	823668.3998
92	823402.0914
93	823124.1669
94	822895.307
95	822719.6132
96	822372.1775
97	821950.915
98	821792.3785
99	821190.1096
100	820743.9094
101	820620.6551
102	820387.8621
103	820196.6499
104	820135.9317
105	819881.5704
106	819620.1157
107	819377.4939
108	819113.981
109	818825.2848
110	818409.7128
111	818152.2635
112	817943.3339
113	817699.9666
114	817495.04
115	817303.0122
116	816923.3882
117	816669.3862
118	816522.6727
119	816324.4383
120	816267.3724
121	816111.4396
122	815722.1635
123	815524.9941
124	815449.2314
125	815328.7638
126	815202.366
127	814990.068
128	814780.2861
129	814607.9334
130	814443.2311
131	814226.9337
132	814112.571
133	814039.9263
134	813934.045
135	813418.6291
136	813300.3067
137	813159.838
138	812930.7631
139	812768.1872
140	812429.3913
141	812273.3616
142	812129.9537
143	812065.6092
144	812005.354
145	811884.8322
146	811154.8497
147	811057.1173
148	810890.1832
149	810727.9992
150	810584.5872
151	810527.9555
152	810218.3643
153	810168.0769
154	809764.2854
155	809649.1756
156	809271.1965
157	809034.224
158	808794.6671
159	808710.0666
160	808683.4788
161	808598.9518
162	808538.5515
163	808470.2461
164	808073.4791
165	807972.0135
166	807651.5658
167	807529.033
168	807184.8341
169	807047.9217
170	806913.3556
171	806791.1577
172	806529.0586
173	806465.8723
174	806279.753
175	806209.0257
176	806140.6867
177	805889.7028
178	805833.2616
179	805794.3361
180	805678.3959
181	805562.9951
182	805533.157
183	805358.5207
184	805287.9861
185	805022.2319
186	804872.5611
187	804802.1121
188	804362.2263
189	804319.6313
190	804262.9242
191	804128.3849
192	804100.2668
193	803979.6872
194	803861.8208
195	803606.2638
196	803188.18
197	803038.7227
198	802836.9448
199	802813.0776
