iter	Passed	Remaining
0	173	34619
1	208	20611
2	239	15723
3	272	13371
4	306	11962
5	339	10983
6	372	10258
7	404	9709
8	437	9276
9	469	8921
10	502	8627
11	534	8372
12	566	8142
13	605	8042
14	636	7850
15	667	7675
16	699	7534
17	727	7354
18	759	7235
19	792	7128
20	825	7038
21	858	6948
22	891	6861
23	924	6776
24	955	6688
25	988	6612
26	1023	6554
27	1056	6487
28	1090	6432
29	1124	6370
30	1157	6311
31	1190	6248
32	1224	6197
33	1258	6145
34	1291	6086
35	1322	6026
36	1356	5973
37	1388	5919
38	1421	5866
39	1453	5814
40	1485	5762
41	1517	5707
42	1548	5653
43	1585	5621
44	1617	5572
45	1650	5526
46	1682	5476
47	1711	5421
48	1744	5377
49	1776	5330
50	1810	5288
51	1834	5221
52	1866	5176
53	1897	5131
54	1929	5085
55	1962	5045
56	1995	5005
57	2025	4958
58	2056	4914
59	2089	4876
60	2123	4838
61	2157	4801
62	2198	4780
63	2233	4745
64	2264	4702
65	2297	4665
66	2330	4625
67	2362	4585
68	2392	4542
69	2426	4505
70	2458	4466
71	2490	4427
72	2524	4391
73	2562	4362
74	2594	4323
75	2626	4285
76	2658	4246
77	2690	4208
78	2722	4170
79	2755	4133
80	2786	4093
81	2818	4055
82	2850	4018
83	2888	3989
84	2921	3952
85	2954	3916
86	2988	3881
87	3021	3845
88	3052	3806
89	3083	3768
90	3113	3729
91	3148	3695
92	3181	3660
93	3216	3627
94	3251	3593
95	3284	3558
96	3317	3522
97	3349	3486
98	3382	3450
99	3414	3414
100	3446	3378
101	3480	3344
102	3513	3308
103	3545	3272
104	3586	3245
105	3619	3209
106	3651	3173
107	3682	3137
108	3715	3101
109	3745	3064
110	3777	3029
111	3809	2993
112	3841	2957
113	3871	2920
114	3903	2885
115	3938	2851
116	3969	2815
117	4003	2782
118	4036	2747
119	4068	2712
120	4101	2677
121	4134	2643
122	4167	2609
123	4201	2575
124	4236	2541
125	4273	2510
126	4306	2475
127	4337	2440
128	4370	2405
129	4403	2370
130	4435	2336
131	4465	2300
132	4496	2265
133	4530	2231
134	4567	2199
135	4600	2164
136	4630	2129
137	4663	2095
138	4698	2062
139	4731	2027
140	4764	1993
141	4797	1959
142	4831	1925
143	4862	1890
144	4894	1856
145	4931	1824
146	4963	1789
147	4996	1755
148	5031	1722
149	5064	1688
150	5096	1653
151	5128	1619
152	5162	1585
153	5196	1552
154	5229	1518
155	5261	1483
156	5294	1449
157	5328	1416
158	5360	1382
159	5393	1348
160	5425	1314
161	5458	1280
162	5491	1246
163	5528	1213
164	5561	1179
165	5594	1145
166	5627	1112
167	5658	1077
168	5690	1043
169	5723	1010
170	5753	975
171	5786	942
172	5821	908
173	5854	874
174	5886	840
175	5919	807
176	5954	773
177	5984	739
178	6017	705
179	6050	672
180	6081	638
181	6114	604
182	6148	571
183	6181	537
184	6216	504
185	6249	470
186	6281	436
187	6313	403
188	6345	369
189	6377	335
190	6410	302
191	6442	268
192	6474	234
193	6507	201
194	6541	167
195	6576	134
196	6609	100
197	6641	67
198	6677	33
199	6710	0
